0,1,2,3,4,5,6,7
44,35.90996483,4.237462407,977.5799648,945.9074624,4.326,2.5159,4.7183
50,47.98872637,4.237462407,989.6587264,945.9074624,-6.6089,-3.1237,0.79447
56,58.07250701,4.237462407,999.742507,945.9074624,-0.7381,4.6993,2.6861
63,70.21136469,4.237462407,1011.881365,945.9074624,-0.67384,1.6663,0.51955
70,4.237462407,4.237462407,945.9074624,945.9074624,-4.0066,-4.5166,4.8285
79,48.71753859,4.237462407,990.3875386,945.9074624,4.4521,-0.57625,2.4724
89,27.39719955,4.237462407,969.0671995,945.9074624,-4.0502,0.10065,3.9682
100,23.71257869,3.112415387,965.3825787,944.7824154,0.26738,-2.3754,3.9855
112,75.1880196,3.112415387,1016.85802,944.7824154,-2.8705,-3.0495,-1.6891
125,32.0151536,3.112415387,973.6851536,944.7824154,-0.011955,-4.3642,2.4983
141,14.45855138,3.112415387,956.1285514,944.7824154,6.5853,-4.0914,5.4574
158,75.17276685,3.112415387,1016.842767,944.7824154,-1.0313,-3.3448,-1.597
177,38.03415424,1.238662676,979.7041542,942.9086627,-4.0959,0.77523,3.1133
199,37.49525526,1.238662676,979.1652553,942.9086627,0.79503,2.487,4.1976
223,0.0,0.0,941.67,941.67,-5.337,-7.3269,5.3386
240,4.310383854,0.0,945.9803839,941.67,-0.70558,-4.995,5.8779
1,31.57862847,31.57862847,-5.871371532,-5.871371532,4.8875,-0.18861,3.4942
2,90.33064638,31.57862847,52.88064638,-5.871371532,-0.027367,-4.8635,-0.41122
3,91.44266945,31.57862847,53.99266945,-5.871371532,3.1995,1.9193,-2.99
4,43.61785445,31.57862847,6.167854452,-5.871371532,1.342,3.9255,1.3438
5,39.97333871,31.57862847,2.52333871,-5.871371532,4.7151,0.34022,2.5047
6,86.21928758,31.57862847,48.76928758,-5.871371532,-4.7987,3.6387,-2.2116
7,71.04572487,31.57862847,33.59572487,-5.871371532,4.1135,-2.2168,0.26622
8,72.31797162,31.57862847,34.86797162,-5.871371532,4.6974,-2.5683,0.19178
10,40.8162043,31.57862847,3.366204302,-5.871371532,-4.0066,-4.5166,4.8285
11,66.9827079,31.57862847,29.5327079,-5.871371532,2.202,0.38033,0.042398
12,85.83836601,31.57862847,48.38836601,-5.871371532,-2.0264,0.9298,-1.5941
14,98.12048821,26.55179593,60.67048821,-10.89820407,-4.9979,-3.6127,-1.0887
15,92.11991521,26.55179593,54.66991521,-10.89820407,0.84044,4.8911,-3.7616
17,75.35201851,26.55179593,37.90201851,-10.89820407,2.861,3.9476,-1.9885
19,43.78568857,26.55179593,6.335688569,-10.89820407,4.5021,2.5298,1.4524
22,90.33064638,26.55179593,52.88064638,-10.89820407,-0.027367,-4.8635,-0.41122
25,39.97333871,26.55179593,2.52333871,-10.89820407,4.7151,0.34022,2.5047
28,72.31797162,26.55179593,34.86797162,-10.89820407,4.6974,-2.5683,0.19178
30,40.8162043,26.55179593,3.366204302,-10.89820407,-4.0066,-4.5166,4.8285
31,66.9827079,26.55179593,29.5327079,-10.89820407,2.202,0.38033,0.042398
35,92.11991521,26.55179593,54.66991521,-10.89820407,0.84044,4.8911,-3.7616
39,43.78568857,26.55179593,6.335688569,-10.89820407,4.5021,2.5298,1.4524
44,11.34609835,11.34609835,-26.10390165,-26.10390165,4.326,2.5159,4.7183
50,71.65265499,11.34609835,34.20265499,-26.10390165,-1.9757,-0.095579,0.14367
56,40.42260759,11.34609835,2.972607589,-26.10390165,-0.7381,1.376,2.6776
63,61.02031574,11.34609835,23.57031574,-26.10390165,-0.67384,1.6663,0.51955
70,40.8162043,11.34609835,3.366204302,-26.10390165,-4.0066,-4.5166,4.8285
79,34.76948213,11.34609835,-2.680517873,-26.10390165,4.4521,0.77903,2.9126
89,30.08435074,10.27601151,-7.36564926,-27.17398849,-4.0502,1.8938,3.8789
100,16.19789659,10.27601151,-21.25210341,-27.17398849,0.31738,4.9758,3.8561
112,74.21859371,10.27601151,36.76859371,-27.17398849,-2.4485,3.9605,-1.3483
125,47.38113825,3.623901237,9.931138251,-33.82609876,1.784,-3.0353,3.1245
141,17.11909264,3.623901237,-20.33090736,-33.82609876,6.6353,-0.41353,5.907
158,69.72788841,3.623901237,32.27788841,-33.82609876,1.5335,5.34,-1.6261
177,16.98885759,3.163755769,-20.46114241,-34.28624423,4.6587,4.5266,3.485
199,12.91857262,3.163755769,-24.53142738,-34.28624423,2.448,2.3589,4.7985
223,13.82218708,3.163755769,-23.62781292,-34.28624423,1.7409,1.6597,5.2129
251,3.683792449,0.0,-33.76620755,-37.45,1.7984,4.8475,9.1536
280,6.036218247,0.0,-31.41378175,-37.45,-1.0362,5.2632,5.5898
1,31.57862847,31.57862847,22.36862847,22.36862847,4.8875,-0.18861,3.4942
2,90.33064638,31.57862847,81.12064638,22.36862847,-0.027367,-4.8635,-0.41122
3,91.44266945,31.57862847,82.23266945,22.36862847,3.1995,1.9193,-2.99
4,43.61785445,31.57862847,34.40785445,22.36862847,1.342,3.9255,1.3438
5,39.97333871,31.57862847,30.76333871,22.36862847,4.7151,0.34022,2.5047
6,86.21928758,31.57862847,77.00928758,22.36862847,-4.7987,3.6387,-2.2116
7,71.04572487,31.57862847,61.83572487,22.36862847,4.1135,-2.2168,0.26622
8,72.31797162,31.57862847,63.10797162,22.36862847,4.6974,-2.5683,0.19178
10,40.8162043,31.57862847,31.6062043,22.36862847,-4.0066,-4.5166,4.8285
11,66.9827079,31.57862847,57.7727079,22.36862847,2.202,0.38033,0.042398
12,85.83836601,31.57862847,76.62836601,22.36862847,-2.0264,0.9298,-1.5941
14,98.12048821,26.55179593,88.91048821,17.34179593,-4.9979,-3.6127,-1.0887
15,92.11991521,26.55179593,82.90991521,17.34179593,0.84044,4.8911,-3.7616
17,75.35201851,26.55179593,66.14201851,17.34179593,2.861,3.9476,-1.9885
19,43.78568857,26.55179593,34.57568857,17.34179593,4.5021,2.5298,1.4524
22,90.33064638,26.55179593,81.12064638,17.34179593,-0.027367,-4.8635,-0.41122
25,39.97333871,26.55179593,30.76333871,17.34179593,4.7151,0.34022,2.5047
28,72.31797162,26.55179593,63.10797162,17.34179593,4.6974,-2.5683,0.19178
30,40.8162043,26.55179593,31.6062043,17.34179593,-4.0066,-4.5166,4.8285
31,66.9827079,26.55179593,57.7727079,17.34179593,2.202,0.38033,0.042398
35,92.11991521,26.55179593,82.90991521,17.34179593,0.84044,4.8911,-3.7616
39,43.78568857,26.55179593,34.57568857,17.34179593,4.5021,2.5298,1.4524
44,11.34609835,11.34609835,2.136098354,2.136098354,4.326,2.5159,4.7183
50,71.65265499,11.34609835,62.44265499,2.136098354,-1.9757,-0.095579,0.14367
56,40.42260759,11.34609835,31.21260759,2.136098354,-0.7381,1.376,2.6776
63,61.02031574,11.34609835,51.81031574,2.136098354,-0.67384,1.6663,0.51955
70,40.8162043,11.34609835,31.6062043,2.136098354,-4.0066,-4.5166,4.8285
79,34.76948213,11.34609835,25.55948213,2.136098354,4.4521,0.77903,2.9126
89,30.08435074,10.27601151,20.87435074,1.066011513,-4.0502,1.8938,3.8789
100,16.19789659,10.27601151,6.987896586,1.066011513,0.31738,4.9758,3.8561
112,74.21859371,10.27601151,65.00859371,1.066011513,-2.4485,3.9605,-1.3483
125,47.38113825,3.623901237,38.17113825,-5.586098763,1.784,-3.0353,3.1245
141,17.11909264,3.623901237,7.909092637,-5.586098763,6.6353,-0.41353,5.907
158,69.72788841,3.623901237,60.51788841,-5.586098763,1.5335,5.34,-1.6261
177,16.98885759,3.163755769,7.778857587,-6.046244231,4.6587,4.5266,3.485
199,12.91857262,3.163755769,3.708572622,-6.046244231,2.448,2.3589,4.7985
223,13.82218708,3.163755769,4.612187075,-6.046244231,1.7409,1.6597,5.2129
251,3.683792449,0.0,-5.526207551,-9.21,1.7984,4.8475,9.1536
280,6.036218247,0.0,-3.173781753,-9.21,-1.0362,5.2632,5.5898
1,100.2690783,100.2690783,756.2590783,756.2590783,4.8875,-0.18861,3.4942
2,51.34686386,51.34686386,707.3368639,707.3368639,-0.027367,-4.8635,-0.41122
3,43.78111483,43.78111483,699.7711148,699.7711148,3.1995,1.9193,-2.99
4,95.3209553,43.78111483,751.3109553,699.7711148,1.342,3.9255,1.3438
5,92.21924856,43.78111483,748.2092486,699.7711148,4.7151,0.34022,2.5047
6,65.00093242,43.78111483,720.9909324,699.7711148,-4.7987,3.6387,-2.2116
7,62.35006376,43.78111483,718.3400638,699.7711148,4.1135,-2.2168,0.26622
8,59.90997473,43.78111483,715.8999747,699.7711148,4.6974,-2.5683,0.19178
10,108.8197052,43.78111483,764.8097052,699.7711148,-4.0066,-4.5166,4.8285
11,70.23608684,43.78111483,726.2260868,699.7711148,2.202,0.38033,0.042398
12,59.83724357,43.78111483,715.8272436,699.7711148,-2.0264,0.9298,-1.5941
14,53.49800538,43.78111483,709.4880054,699.7711148,-4.9979,-3.6127,-1.0887
15,47.82199032,43.78111483,703.8119903,699.7711148,0.84044,4.8911,-3.7616
17,60.54879227,43.78111483,716.5387923,699.7711148,2.861,3.9476,-1.9885
19,88.83297146,39.27761496,744.8229715,695.267615,4.5021,2.5298,1.4524
22,51.34686386,39.27761496,707.3368639,695.267615,-0.027367,-4.8635,-0.41122
25,92.21924856,39.27761496,748.2092486,695.267615,4.7151,0.34022,2.5047
28,59.90997473,39.27761496,715.8999747,695.267615,4.6974,-2.5683,0.19178
30,108.8197052,39.27761496,764.8097052,695.267615,-4.0066,-4.5166,4.8285
31,70.23608684,39.27761496,726.2260868,695.267615,2.202,0.38033,0.042398
35,47.82199032,39.27761496,703.8119903,695.267615,0.84044,4.8911,-3.7616
39,88.83297146,39.27761496,744.8229715,695.267615,4.5021,2.5298,1.4524
44,67.91480127,24.90416261,723.9048013,680.8941626,3.1154,3.0984,-0.95791
50,107.3262892,24.90416261,763.3162892,680.8941626,-2.855,-4.4666,4.7785
56,75.94785961,24.90416261,731.9378596,680.8941626,-2.0893,3.0788,-0.6689
63,43.78111483,24.90416261,699.7711148,680.8941626,3.1995,1.9193,-2.99
70,107.3262892,24.90416261,763.3162892,680.8941626,-2.855,-4.4666,4.7785
79,84.97511121,24.90416261,740.9651112,680.8941626,4.4521,1.4521,1.4024
89,32.2034192,18.47488796,688.1934192,674.464888,0.25966,0.72442,-4.0639
100,115.4671005,14.88659044,771.4571005,670.8765904,-2.6482,2.1634,3.5166
112,25.62868249,14.88659044,681.6186825,670.8765904,-2.8705,0.61562,-7.711
125,0.9724957907,0.9724957907,656.9624958,656.9624958,4.79,-4.7589,-7.3373
141,84.87972189,0.9724957907,740.8697219,656.9624958,2.2585,-4.3067,2.9946
158,14.88659044,0.9724957907,670.8765904,656.9624958,0.75145,-1.636,-6.3436
177,25.25844906,0.6196875985,681.2484491,656.6096876,4.465,2.8182,-7.1291
199,3.409996432,0.6196875985,659.3999964,656.6096876,3.0446,-4.54,-6.0017
223,9.824448709,0.4272395524,665.8144487,656.4172396,5.5503,-1.8932,-7.8734
251,1.225774481,0.0,657.2157745,655.99,6.4291,-4.6124,-6.8067
280,39.62719118,0.0,695.6171912,655.99,-1.9774,0.060087,-3.3352
1,110.0441481,110.0441481,176.7541481,176.7541481,4.8875,-0.18861,3.4942
2,51.29213022,51.29213022,118.0021302,118.0021302,-0.027367,-4.8635,-0.41122
3,50.18010715,50.18010715,116.8901071,116.8901071,3.1995,1.9193,-2.99
4,98.00492215,50.18010715,164.7149221,116.8901071,1.342,3.9255,1.3438
5,101.6494379,50.18010715,168.3594379,116.8901071,4.7151,0.34022,2.5047
6,55.40348902,50.18010715,122.113489,116.8901071,-4.7987,3.6387,-2.2116
7,70.57705173,50.18010715,137.2870517,116.8901071,4.1135,-2.2168,0.26622
8,69.30480498,50.18010715,136.014805,116.8901071,4.6974,-2.5683,0.19178
10,100.8065723,50.18010715,167.5165723,116.8901071,-4.0066,-4.5166,4.8285
11,74.6400687,50.18010715,141.3500687,116.8901071,2.202,0.38033,0.042398
12,55.78441059,50.18010715,122.4944106,116.8901071,-2.0264,0.9298,-1.5941
14,43.5022884,43.5022884,110.2122884,110.2122884,-4.9979,-3.6127,-1.0887
15,49.50286139,43.5022884,116.2128614,110.2122884,0.84044,4.8911,-3.7616
17,66.2707581,43.5022884,132.9807581,110.2122884,2.861,3.9476,-1.9885
19,97.83708803,39.25122909,164.547088,105.9612291,4.5021,2.5298,1.4524
22,51.29213022,39.25122909,118.0021302,105.9612291,-0.027367,-4.8635,-0.41122
25,101.6494379,39.25122909,168.3594379,105.9612291,4.7151,0.34022,2.5047
28,69.30480498,39.25122909,136.014805,105.9612291,4.6974,-2.5683,0.19178
30,100.8065723,39.25122909,167.5165723,105.9612291,-4.0066,-4.5166,4.8285
31,74.6400687,39.25122909,141.3500687,105.9612291,2.202,0.38033,0.042398
35,49.50286139,39.25122909,116.2128614,105.9612291,0.84044,4.8911,-3.7616
39,97.83708803,39.25122909,164.547088,105.9612291,4.5021,2.5298,1.4524
44,74.14569579,24.08016915,140.8556958,90.79016915,3.1154,3.0984,-0.95791
50,101.616216,24.08016915,168.326216,90.79016915,-2.855,-4.4666,4.7785
56,78.24471519,21.24332393,144.9547152,87.95332393,-0.7381,4.6993,-0.6689
63,49.38324994,21.24332393,116.0932499,87.95332393,0.00056535,1.8394,-2.7245
70,100.8065723,21.24332393,167.5165723,87.95332393,-4.0066,-4.5166,4.8285
79,94.79727918,21.24332393,161.5072792,87.95332393,4.4521,1.7424,1.4024
89,39.26713789,21.24332393,105.9771379,87.95332393,0.25966,1.7002,-3.718
100,113.9795962,20.35007805,180.6895962,87.06007805,-2.9629,3.4674,3.5166
112,20.35007805,20.35007805,87.06007805,87.06007805,-2.8705,0.76186,-7.7252
125,5.56227421,5.56227421,72.27227421,72.27227421,0.56227,-5.5192,-7.3918
141,110.0441481,5.56227421,176.7541481,72.27227421,4.8875,-0.18861,3.4942
158,24.82792049,5.56227421,91.53792049,72.27227421,-0.78215,1.5175,-6.4477
177,31.03792596,5.56227421,97.74792596,72.27227421,0.49867,3.0762,-6.7671
199,8.219768275,5.56227421,74.92976828,72.27227421,0.99142,-4.2953,-6.6263
223,9.453253105,3.429384646,76.1632531,70.13938465,-2.5948,-2.7712,-6.9501
251,6.830277119,3.429384646,73.54027712,70.13938465,-0.70169,-4.1993,-6.2458
281,44.17332637,1.405785052,110.8833264,68.11578505,-2.6404,-0.30245,-2.3041
300,9.987764885,1.405785052,76.69776488,68.11578505,0.11655,-3.4596,-6.3439
316,1.405785052,1.405785052,68.11578505,68.11578505,-4.0527,-4.855,-5.096
354,25.83079573,0.0,92.54079573,66.71,-1.7635,-3.6767,-3.159
360,3.511602113,0.0,70.22160211,66.71,-1.4884,-5.1348,-8.581
1,40.16079936,40.16079936,981.8307994,981.8307994,4.8875,-0.18861,3.4942
2,59.51661571,40.16079936,1001.186616,981.8307994,-0.027367,-4.8635,-0.41122
3,109.9803773,40.16079936,1051.650377,981.8307994,3.1995,1.9193,-2.99
4,71.12870841,40.16079936,1012.798708,981.8307994,1.342,3.9255,1.3438
5,51.55529899,40.16079936,993.225299,981.8307994,4.7151,0.34022,2.5047
6,99.63508317,40.16079936,1041.305083,981.8307994,-4.7987,3.6387,-2.2116
7,65.25269664,40.16079936,1006.922697,981.8307994,4.1135,-2.2168,0.26622
8,65.46917507,40.16079936,1007.139175,981.8307994,4.6974,-2.5683,0.19178
10,4.237462407,4.237462407,945.9074624,945.9074624,-4.0066,-4.5166,4.8285
11,73.79210429,4.237462407,1015.462104,945.9074624,2.202,0.38033,0.042398
12,87.6661248,4.237462407,1029.336125,945.9074624,-2.0264,0.9298,-1.5941
14,65.27593178,4.237462407,1006.945932,945.9074624,-4.9979,-3.6127,-1.0887
15,124.7346654,4.237462407,1066.404665,945.9074624,0.84044,4.8911,-3.7616
17,106.0405172,4.237462407,1047.710517,945.9074624,2.861,3.9476,-1.9885
